trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,False,"{'a': 0.7, 'e': 0.20804518235702046}",25,8,8.355118928611578,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.7, 'e': 0.20597509820488347}",20,10,13.753984082375398,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.7, 'e': 0.20392561173421345}",30,4,39.54780003538811,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.7, 'e': 0.2018965179946554}",25,8,-15.991277468147187,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.7, 'e': 0.1998876140751445}",25,13,17.989514469859373,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.7, 'e': 0.19789869908361468}",25,12,7.073984743720027,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 0.19592957412690934}",25,10,-32.12211670916571,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
164,False,"{'a': 0.7, 'e': 0.19398004229089189}",20,16,5.377660678476002,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.7, 'e': 0.1920499086207541}",20,16,8.386847837949896,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.7, 'e': 0.19013898010152053}",25,8,32.085629076812396,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.7, 'e': 0.1882470656387468}",20,1,20.247763602125275,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.7, 'e': 0.18637397603941}",20,2,32.46924421066023,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 0.1845195239929893}",25,0,22.158213900571674,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.7, 'e': 0.18268352405273466}",25,0,-12.769755502466161,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
171,False,"{'a': 0.7, 'e': 0.1808657926171221}",25,17,16.942695117174722,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 0.17906614791149325}",20,9,15.325108513495243,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.7, 'e': 0.17728440996987782}",20,3,14.03987928310288,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.7, 'e': 0.1755204006169969}",25,7,-19.401077999061833,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
175,False,"{'a': 0.7, 'e': 0.17377394345044514}",20,16,7.967767895321658,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.7, 'e': 0.17204486382305054}",20,9,8.20814924782212,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.7, 'e': 0.17033298882540945}",25,12,-7.755510587453323,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
178,False,"{'a': 0.7, 'e': 0.16863814726859552}",25,17,18.239383677557854,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.7, 'e': 0.16696016966704072}",30,13,9.19393960523789,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.7, 'e': 0.16529888822158656}",20,10,-19.662971934938973,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
